event_id,selection_group,origin_time_utc,event_lat,event_lon,event_depth_km,source_x_km,source_y_km,source_z_km,magnitude,rms_s,phases,network,station,location,channel,station_lat,station_lon,receiver_x_km,receiver_y_km,pick_time_utc,travel_time_s,xml_file,n_picks,gap_deg,error_depth_km,quality_score
SGC2024puhvvk,domain_20_120,2024-08-11T12:31:35.420000Z,6.591666667,-74.333,21.13,-147.28348672174886,-45.45566662955998,21.13,1.197280278,0.3,20,CM,PTB1,00,HHZ,6.53321,-74.45888,-161.19199783092594,-51.96306279999995,2024-08-11T12:31:39.313389Z,3.893389,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2024puhvvk.xml,4,,,-0.4081591660000008
SGC2023itlddj,domain_20_120,2023-05-04T21:31:18.399999Z,6.908333333,-73.65366667,115.84,-72.22378567996692,-10.204333370440015,115.84,1.834084829,0.5,21,CM,BRJC,00,HHZ,6.97,-73.74,-81.76277582452627,-3.3396000000000274,2023-05-04T21:31:33.467532Z,15.067533,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2023itlddj.xml,4,,,-0.49774551299999814
SGC2024mrqrld,domain_20_120,2024-06-28T13:55:24.190000Z,6.711833333,-73.5395,113.62,-59.60948318558452,-32.07871337043996,113.62,1.832472563,0.2,18,CM,VMM10,00,HHZ,6.77,-73.72,-79.55297107251248,-25.603600000000046,2024-06-28T13:55:39.678075Z,15.488075,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2024mrqrld.xml,4,,,-0.5025823109999976
SGC2025ykkrkg,domain_20_120,2025-12-12T14:39:21.030000Z,6.486166667,-73.72516667,40.7,-80.12383766841631,-57.19992662956,40.7,1.802132726,0.5,21,CM,VMM10,00,HHZ,6.77,-73.72,-79.55297107251248,-25.603600000000046,2025-12-12T14:39:27.958885Z,6.928885,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2025ykkrkg.xml,5,,,-0.5936018220000001
SGC2023rogrxi,domain_20_120,2023-09-06T13:22:36.490000Z,6.755666667,-73.53566667,114.02,-59.18593764308191,-27.199186629560014,114.02,1.786685685,0.3,19,CM,BRJC,00,HHZ,6.97,-73.74,-81.76277582452627,-3.3396000000000274,2023-09-06T13:22:52.748473Z,16.258473,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2023rogrxi.xml,5,,,-0.6399429450000014
SGC2022xndkre,domain_20_120,2022-11-29T22:17:23.539999Z,7.198666667,-73.8125,32.44,-89.77331805057847,22.11557337044004,32.44,1.083036754,0.3,20,CM,BRJC,00,HHZ,6.97,-73.74,-81.76277582452627,-3.3396000000000274,2022-11-29T22:17:29.554493Z,6.014494,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2022xndkre.xml,4,,,-0.7508897379999979
SGC2023hrwvis,domain_20_120,2023-04-19T21:19:09.919999Z,6.496,-73.70283333,97.19,-77.65622162540006,-56.10527999999995,97.19,1.731274287,0.4,20,CM,BRJC,00,HHZ,6.97,-73.74,-81.76277582452627,-3.3396000000000274,2023-04-19T21:19:24.205271Z,14.285272,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2023hrwvis.xml,4,,,-0.806177138999999
SGC2025vhcwnw,domain_20_120,2025-10-29T07:40:50.070000Z,8.000833333,-73.54766667,101.1,-60.511820494290504,111.41276662955991,101.1,1.728571514,0.6,22,CM,VMM10,00,HHZ,6.77,-73.72,-79.55297107251248,-25.603600000000046,2025-10-29T07:41:11.495968Z,21.425968,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2025vhcwnw.xml,4,,,-0.8142854580000005
SGC2022ybghoj,domain_20_120,2022-12-07T14:46:57.219999Z,7.324666667,-74.0585,83.0,-116.95391650035307,36.14189337043997,83.0,1.721283913,0.3,19,CM,BRJC,00,HHZ,6.97,-73.74,-81.76277582452627,-3.3396000000000274,2022-12-07T14:47:10.107673Z,12.887674,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2022ybghoj.xml,4,,,-0.8361482609999982
SGC2026aodwcx,domain_20_120,2026-01-08T16:58:50.189999Z,6.448833333,-73.82966667,89.83,-91.67006749769088,-61.35587337044004,89.83,1.713140579,0.6,22,CM,BRJC,00,HHZ,6.97,-73.74,-81.76277582452627,-3.3396000000000274,2026-01-08T16:59:03.827926Z,13.637927,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2026aodwcx.xml,4,,,-0.8605782630000007
SGC2023spirjn,domain_20_120,2023-09-21T07:23:10.380000Z,6.535166667,-73.60633333,115.11,-66.99391369693069,-51.74524662955996,115.11,1.696377244,0.2,18,CM,BAR2,00,HHZ,6.59,-73.18,-19.888242768128904,-45.64120000000001,2023-09-21T07:23:27.372581Z,16.992581,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2023spirjn.xml,4,,,-0.9108682680000015
