event_id,n_picks,depth_km,selection_group,rms_residual_s,mad_residual_s,p90_abs_residual_s,median_residual_s,azimuthal_gap_deg,relocated_lat,relocated_lon,relocated_z_km,horizontal_shift_km,vertical_shift_km,total_shift_km,origin_time_shift_s,horizontal_uncertainty_0p20_km,depth_uncertainty_0p20_km,origin_time_uncertainty_0p20_s,sgc_rms_s,final_event_rms_s,rms_improvement_s,rms_improvement_percent,gap_class,nest_depth_class
SGC2025wthywj,5,140.0,domain_20_120,0.2562318143626393,0.2902496674549035,0.3942265866392787,0.1086099511576712,159.08500000000004,6.67474668436328,-73.60019556082159,140.0,10.000003814697266,10.0,14.142138321129512,-1.0828535254137712,22.36068148098264,40.0,1.3464769915068424,0.7,0.2562318143626393,0.4437681856373606,63.39545509105152,gap_lt_180,deep_nest
SGC2023ywaauj,5,110.0,domain_20_120,0.0738052105231708,0.0856506298315698,0.1066157791534479,0.0023134661814339,242.119,6.315422214366873,-73.69070129433389,110.0,0.0,0.0,0.0,0.0812145809267832,10.0,20.0,0.5740596730969251,0.6,0.0738052105231708,0.5261947894768292,87.69913157947154,gap_ge_180,crustal_intermediate
SGC2024wrxjva,4,50.0,domain_20_120,0.1175551692981221,0.0621687937725859,0.1746138999773883,0.032552456439637,320.968,6.405253331865975,-74.23373569540765,50.0,14.142135623730953,10.0,17.320508075688775,1.6501124474469364,28.284271247461906,30.0,1.7762118834036982,0.9,0.1175551692981221,0.7824448307018779,86.93831452243087,gap_ge_180,crustal_intermediate
SGC2023vfdfoj,6,130.0,domain_20_120,0.1572763262302164,0.1558500517756925,0.2470088979428108,-0.0400790243305379,131.03300000000002,6.764577801862382,-73.41918405927181,130.0,0.0,10.0,10.0,-0.7993595870618151,14.142135623730953,30.0,0.9343477250660616,0.9,0.1572763262302164,0.7427236737697835,82.52485264108705,gap_lt_180,deep_nest
SGC2023teoiha,7,70.0,domain_20_120,0.2450922834147195,0.1438981536828676,0.3320325507716299,-0.0758025170969425,256.51500000000004,7.662888976853399,-73.87171276135847,70.0,10.0,0.0,10.0,0.903765432867118,22.360679774997894,40.0,0.827568721389982,0.9,0.2450922834147195,0.6549077165852805,72.76752406503117,gap_ge_180,crustal_intermediate
SGC2024gkucty,5,120.0,domain_20_120,0.3290405898120901,0.4375408794218011,0.4917249786132039,0.0724237754248591,288.66,6.584915566864178,-73.78120702784618,120.0,10.0,10.0,14.142135623730953,-1.272902723549823,28.284271247461906,40.0,1.889773674733714,0.9,0.3290405898120901,0.5709594101879099,63.43993446532332,gap_ge_180,deep_nest
SGC2024uqedjr,5,120.0,domain_20_120,0.1595981000165399,0.1205347772146614,0.233764157869276,0.0608864596591978,193.469,6.495084449365076,-73.69070129433389,120.0,14.142135623730953,0.0,14.142135623730953,0.4297549816097792,10.0,30.0,1.0489096196991492,0.8,0.1595981000165399,0.6404018999834601,80.0502374979325,gap_ge_180,deep_nest
SGC2022vhzdmg,4,50.0,domain_20_120,0.1920573930787246,0.2292170615235202,0.2690501094857687,0.0877703324892955,287.878,7.303564506856992,-73.87171276135847,50.0,14.142135623730953,0.0,14.142135623730953,1.5956185623698005,22.360679774997894,30.0,1.366139852193608,0.9,0.1920573930787246,0.7079426069212754,78.66028965791948,gap_ge_180,crustal_intermediate
SGC2023jfwrtn,5,130.0,domain_20_120,0.1917079550966954,0.2108986644199862,0.2808261774565835,0.0496192184465797,159.08500000000004,6.67474668436328,-73.60019556082159,130.0,14.142138321129512,0.0,14.142138321129512,0.2309302563351281,14.142138321129512,40.0,1.2202965014196825,0.8,0.1917079550966954,0.6082920449033046,76.03650561291306,gap_lt_180,deep_nest
SGC2025yuczzx,8,110.0,domain_20_120,0.2681086251562561,0.0949023203203418,0.4511879265047894,-0.0308302833533264,176.695,6.584915566864178,-73.69070129433389,110.0,0.0,0.0,0.0,0.1245378511543187,20.0,30.0,0.9498648628007882,0.9,0.2681086251562561,0.6318913748437439,70.210152760416,gap_lt_180,crustal_intermediate
SGC2026afswai,7,80.0,domain_20_120,0.2360109964547772,0.1558770991718598,0.3304089376410176,-0.0094625560509769,192.608,6.495084449365076,-74.14322996189536,80.0,0.0,0.0,0.0,0.0785507806254948,14.142135623730953,30.0,0.8979420992460504,0.8,0.2360109964547772,0.5639890035452227,70.49862544315285,gap_ge_180,crustal_intermediate
SGC2023ycjape,5,120.0,domain_20_120,0.0581653310674722,0.0626812718385485,0.075478400585046,-0.0370152364503795,234.831,6.405253331865975,-73.60019556082159,120.0,0.0,0.0,0.0,0.0677272210886421,10.0,40.0,1.0315846481059507,0.8,0.0581653310674722,0.7418346689325277,92.72933361656597,gap_ge_180,deep_nest
SGC2024mnouax,7,130.0,domain_20_120,0.3659847950508148,0.2301801220325932,0.5099921536953085,-0.0557758512432222,209.552,6.405253331865975,-73.69070129433389,130.0,14.142135623730953,10.0,17.320508075688775,-0.095597964777081,14.142135623730953,40.0,1.2771024275064058,0.9,0.3659847950508148,0.5340152049491852,59.33502277213169,gap_ge_180,deep_nest
SGC2025zqwcsx,8,130.0,domain_20_120,0.1434055591699986,0.1239265134403513,0.2004529363052046,-0.0438908201228631,212.43,6.405253331865975,-73.60019556082159,130.0,0.0,0.0,0.0,0.0759216171703514,10.0,40.0,1.3282718121693624,0.6,0.1434055591699986,0.4565944408300014,76.0990734716669,gap_ge_180,deep_nest
