event_id,round,n_picks,catalog_x_km,catalog_y_km,catalog_z_km,relocated_x_km,relocated_y_km,relocated_z_km,relocated_lat,relocated_lon,origin_time_shift_s,rms_before_s,rms_after_s,horizontal_shift_km,vertical_shift_km,total_shift_km
SGC2024oghqkk,1,4,-61.892948464299714,-31.50356000000004,112.68,-66.31575012207031,-36.20719909667969,100.0,6.67474668436328,-73.60019556082159,1.04710292624471,0.2689485637928411,0.19508659368584794,6.456422790972699,-12.680000000000007,14.22911786639607
SGC2024bsnnzy,1,6,-45.614052721192905,-27.42182662955999,114.2,-36.31574630737305,-26.207199096679688,120.0,6.764577801862382,-73.32867832575951,-0.6868771972683572,0.6149085930726057,0.3447415772994731,9.377303568132707,5.799999999999997,11.026051977426661
SGC2025akxmbd,1,4,-75.99886806138933,-74.21333337044003,105.36,-86.31575012207031,-66.20719909667969,100.0,6.405253331865975,-73.78120702784618,0.2663212973638309,0.6660980005775436,0.18394822349740703,13.058952540823519,-5.359999999999999,14.116155335766216
SGC2024aiehqf,1,5,-54.36119689955078,25.17687337044002,21.47,-56.31574630737305,13.792799949645996,30.0,7.123902263291825,-73.5096897927841,-1.0041244997704641,0.5048167248646861,0.35117305687274053,11.550644615676102,8.530000000000001,14.35890981368876
SGC2025mjrgzd,1,4,-131.94375910315114,0.7606866295600367,57.92,-136.3157501220703,-6.207200050354004,70.0,6.944240028293622,-74.23373569540765,-2.402865915775691,0.9052736499032149,0.4818462191579691,8.225919416918297,12.079999999999998,14.614792172782801
SGC2023rbgtxe,1,5,-46.074429079497065,46.49465337043997,116.6,-36.31574630737305,53.79280090332031,130.0,7.483226741855195,-73.32867832575951,-2.365783239707973,1.2593666315980896,0.7054835266048778,12.185846169168457,13.400000000000006,18.112284418555205
SGC2022zqushg,1,5,-89.03671609827278,22.189786629560025,35.74,-86.31575012207031,13.792799949645996,40.0,7.123902263291825,-73.78120702784618,-0.0711076721609274,0.8005172423365884,0.28888796220513846,8.826836417783275,4.259999999999998,9.80105306313077
SGC2024mrqrld,1,4,-59.60948318558452,-32.07871337043996,113.62,-56.31574630737305,-26.207199096679688,120.0,6.764577801862382,-73.5096897927841,-0.3029984473834846,0.24571564429111373,0.13882164152299642,6.732264291444659,6.3799999999999955,9.275116306001818
SGC2023urreja,1,4,-142.75338698012,-64.80679337044,74.76,-136.3157501220703,-56.20719909667969,80.0,6.495084449365076,-74.23373569540765,0.5054893351104726,4.409953313689555,3.7516329563081254,10.74226186561337,5.239999999999995,11.95214583200068
SGC2024ftvrct,1,4,-45.116846651990464,22.931920000000044,118.9,-46.31574630737305,23.792800903320312,130.0,7.21373338935789,-73.41918405927181,-1.1378413025950476,0.2787370564108817,0.24715698012513065,1.4759662304327958,11.099999999999994,11.197699599175621
SGC2022vfotxe,1,5,-96.6605424927222,22.134126629559955,24.81,-106.31575012207031,23.792800903320312,20.0,7.21373338935789,-73.96221849487077,-0.9369173051895245,0.8109632880087537,0.6499779693109803,9.796644053565304,-4.809999999999999,10.913768126190716
SGC2024mvklww,1,4,-76.79071513249406,-58.09048662956,100.29,-76.31575012207031,-56.20719909667969,100.0,6.495084449365076,-73.69070129433389,-0.21175380342146966,0.1839529408281938,0.1839529408281938,1.9422573703372146,-0.29000000000000625,1.9637880976900832
SGC2024dmmjmh,1,5,-71.48718372766125,35.78938000000004,31.35,-76.31575012207031,23.792800903320312,40.0,7.21373338935789,-73.69070129433389,-0.5550735616092037,0.26595974636761693,0.22650513365493902,12.931858468453383,8.649999999999999,15.55813174671398
SGC2024bjfndb,1,4,-39.665995298655,-40.353499999999976,116.66,-46.31574630737305,-26.207199096679688,120.0,6.764577801862382,-73.41918405927181,-0.32502567188878295,0.5720074056903184,0.08195930469145815,15.631283303850234,3.3400000000000034,15.984136439771374
