event_id,n_picks,depth_km,azimuthal_gap_deg,min_local_rms_s,candidate_nodes,accepted_nodes_delta_0p20s,accepted_nodes_delta_0p10s,horizontal_uncertainty_0p20_km,depth_uncertainty_0p20_km,origin_time_uncertainty_0p20_s,horizontal_uncertainty_0p10_km,depth_uncertainty_0p10_km,origin_time_uncertainty_0p10_s
SGC2025xvpdrf,5,20.0,273.692,0.7261186520947276,45,7,3,14.142135286556167,20.0,0.5839179073413406,9.999999523162842,20.0,0.11528950156227603
SGC2024qsxnvu,5,20.0,253.096,1.4347503324601654,75,9,8,22.360679774997898,20.0,0.6865769269585046,22.360679774997898,20.0,0.7281950691453289
SGC2025kzkeby,4,70.0,330.082,0.11793535913164488,100,25,11,22.360679774997898,20.0,1.479181837880563,22.360679774997898,10.0,1.3661285467712738
SGC2022wvewry,5,20.0,309.26300000000003,0.2105880004441195,75,28,17,28.284271247461902,20.0,1.9615135010840135,28.284271247461902,20.0,1.966566858065557
SGC2022yhtltr,5,30.0,142.94100000000003,0.34389760825570515,100,2,1,0.0,10.0,0.0684398641694024,0.0,0.0,0.0
SGC2023rutjjx,5,20.0,223.034,1.4018590905521764,75,3,2,14.142135286556167,0.0,0.5400440478336573,14.142135286556167,0.0,0.47348056660035276
SGC2023deiask,4,100.0,162.702,0.43800949683610346,125,12,4,22.36067892200566,40.0,0.9049139856559427,14.142135623730951,40.0,0.9048987295971537
SGC2026fcpifa,4,110.0,289.17600000000004,0.12409243920998451,125,14,6,28.284271247461902,30.0,1.6764822833459898,22.360679774997898,20.0,1.2065719779944304
SGC2025vjrxjy,4,110.0,223.534,0.780491674046609,125,12,3,22.360679774997898,30.0,0.6201348348741542,22.360679774997898,20.0,0.39240734682334494
SGC2022xiloob,5,100.0,166.13599999999997,0.3129267143621627,125,7,4,19.999999046325684,20.0,0.7775857404511315,19.999999046325684,10.0,0.5547854292405845
SGC2023qqlxvw,5,50.0,258.697,0.25602770247830614,125,15,7,22.360680627990142,40.0,0.9246726755616845,10.0,40.0,0.4109752419606132
SGC2025jqxanf,4,50.0,281.192,0.172355194292594,125,9,2,22.36067956174984,30.0,1.4491043780850728,22.36067956174984,10.0,1.3168164595148744
SGC2024phseip,4,30.0,282.01300000000003,0.37271728054866893,100,10,5,28.284271247461902,30.0,0.7455595242090469,22.360679774997898,20.0,0.46806630482635253
SGC2025vatbqp,6,20.0,270.101,0.7500172928380934,45,8,4,20.0,20.0,0.8810164847859278,20.0,10.0,0.9438420685045986
SGC2023dnvdvy,4,30.0,206.236,0.17228449107975147,100,4,2,0.0,30.0,0.17901271932313734,0.0,10.0,0.08698176675358127
SGC2024sscjmz,4,120.0,144.115,0.13539060368881148,125,6,2,10.0,30.0,1.0048419256062062,0.0,10.0,0.4926630181944782
SGC2023vlhxbf,4,20.0,246.283,0.04877552186548251,60,1,1,0.0,0.0,0.0,0.0,0.0,0.0
SGC2024gnxfpx,4,110.0,178.04900000000004,0.35949847562531734,125,6,2,20.0,30.0,1.1284973328655958,10.0,10.0,0.49392165670048316
SGC2024qvmeri,4,80.0,138.99200000000002,0.18022261686181779,125,7,3,10.0,30.0,1.0599285432057604,10.0,10.0,0.482116105393171
SGC2023ubiuao,4,20.0,202.872,0.3248855750132725,75,7,3,28.284271584636706,20.0,0.4687127453711874,28.284271584636706,20.0,0.4621968764787186
SGC2024uxwrjh,4,140.0,178.359,0.13379092196726133,125,14,7,22.360679774997898,30.0,1.1386262704522798,22.360679774997898,30.0,1.1887089024248003
SGC2023rxbbzs,4,120.0,213.285,0.08252944112648031,125,8,4,22.36067892200566,40.0,1.1840423472342236,19.999999046325684,20.0,0.7155175507132534
SGC2022xcvcps,4,50.0,192.28200000000004,0.5903789351900006,125,14,6,20.0,30.0,0.5740004938561541,10.0,20.0,0.4403792852601422
SGC2024pjcwqe,4,100.0,301.262,0.07620245055373934,125,13,5,22.360679774997898,20.0,1.7194094167396152,22.360679774997898,10.0,1.651901923233982
SGC2022wirihc,4,20.0,118.82900000000001,0.5767847407094777,75,5,3,10.0,20.0,0.4024844271699518,10.0,10.0,0.37128979057222605
SGC2026ahccop,4,90.0,260.755,0.23442789682943233,100,15,5,22.360679774997898,30.0,1.0795491226194158,10.0,20.0,0.6919957217745563
SGC2022wuvoqf,4,90.0,159.968,0.8589482413935604,125,13,5,20.0,20.0,0.6474031058805053,20.0,10.0,0.38879352385613336
SGC2024ohklwj,4,50.0,186.65299999999996,0.1891865465834461,125,7,4,10.0,40.0,0.785924300529279,10.0,30.0,0.8147086077384934
SGC2024ropptj,4,60.0,159.31199999999998,0.29974380178327037,125,5,3,10.0,30.0,0.7527044079212853,10.0,20.0,0.5764297528160959
SGC2023ccmkpf,4,20.0,144.46099999999998,0.6162707832823048,75,1,1,0.0,0.0,0.0,0.0,0.0,0.0
SGC2026cyvsqp,5,30.0,142.94100000000003,0.6357922965053153,100,13,6,20.0,30.0,0.6199138823593953,14.142135623730951,10.0,0.34912007844729437
SGC2024ndoodz,5,110.0,140.50400000000002,0.1136750511395328,125,2,1,0.0,10.0,0.4486798301413355,0.0,0.0,0.0
SGC2025ttzfnl,4,110.0,177.226,0.11335433446319945,125,6,4,10.0,30.0,0.903650516890269,10.0,10.0,0.49847064043536066
SGC2025yswier,4,90.0,162.014,0.3044368868659557,125,10,5,14.142135623730951,40.0,1.2832312064757505,14.142135623730951,30.0,1.2621917265192422
SGC2022wgcrbt,4,20.0,142.94100000000003,0.5249900231136935,75,1,1,0.0,0.0,0.0,0.0,0.0,0.0
SGC2026chbtcp,4,120.0,217.90200000000004,0.14919287155339486,125,9,4,22.360678922005665,20.0,0.9783452435803369,10.0,20.0,0.8635327899841349
SGC2024rawuwk,4,130.0,157.529,0.8007896203908227,125,29,15,28.284270235937537,40.0,1.322345688851493,14.142135623730951,40.0,1.1488019849277866
SGC2023ajnqjp,4,90.0,183.503,0.12152708371708744,125,6,2,14.142135623730951,30.0,1.1770703408595427,10.0,20.0,0.8471599262142964
SGC2024tfgfzn,4,70.0,281.486,0.3993932224570792,75,23,11,22.360679774997898,40.0,0.9669506218721287,22.360679774997898,40.0,0.7608365788391693
SGC2023xattar,6,150.0,216.755,0.2803944923688547,125,29,14,22.360679774997898,40.0,1.2840641948628946,22.360679774997898,40.0,1.2925642099955297
SGC2026egwytg,5,140.0,124.66199999999998,0.2296355828622951,125,14,8,14.142135623730951,30.0,0.8958445083187216,14.142135623730951,30.0,0.9948033646309878
SGC2025ymegea,8,130.0,212.43,0.15479704186771306,100,10,4,10.0,40.0,1.3245202687540034,10.0,20.0,0.8692106169548368
SGC2026akeapz,8,130.0,168.58599999999996,0.28392481487659055,125,9,6,10.0,40.0,1.267951861973061,10.0,30.0,1.0289000128049963
SGC2024pkqolm,7,150.0,125.78899999999999,0.12727883276416438,125,7,3,14.142135623730951,30.0,1.214157362563631,0.0,20.0,0.8335705521962369
SGC2023xgvvku,6,120.0,228.896,0.06920084279717494,125,13,2,22.360679774997898,40.0,0.9640025190967793,0.0,10.0,0.3843646000673768
