event_id,round,n_picks,catalog_x_km,catalog_y_km,catalog_z_km,x_km,y_km,depth_km,lat,lon,origin_time_shift_s,rms_before_s,rms_after_s,horizontal_shift_km,vertical_shift_km,total_shift_km,vp_final_km_s,dvp_percent,vp_active,hit_count
SGC2025ykkrkg,2,5,-76.31575012207031,-56.20719909667969,40.0,-76.31575012207031,-56.20719909667969,40.0,6.495084449365076,-73.69070129433389,-0.1534269196865878,0.2995024411128599,0.2995024411128599,0.0,0.0,0.0,7.821955605816247,-2.5908360407624293,True,38
SGC2023rhwust,2,4,-76.31575012207031,-36.20719909667969,120.0,-86.31575012207031,-36.20719909667969,130.0,6.67474668436328,-73.78120702784618,-0.7135221339389517,0.3732981396484905,0.3032545847576789,10.0,10.0,14.142135623730953,8.072999954223633,0.0,False,9
SGC2025yxrhgz,2,8,-36.31574630737305,53.79280090332031,40.0,-36.31574630737305,53.79280090332031,40.0,7.483226741855195,-73.32867832575951,0.1164905507625606,0.682879519488152,0.682879519488152,0.0,0.0,0.0,8.029999732971191,0.0,False,8
SGC2024lvjfcm,2,4,-126.31575012207033,23.792800903320312,70.0,-126.31575012207033,13.792799949645996,60.0,7.123902263291825,-74.14322996189536,1.3389828769118113,1.2337219696119432,1.0851686230265052,10.000000953674316,-10.0,14.142136298080542,8.809713363647461,0.0,False,12
SGC2023ulidxj,2,5,-56.31574630737305,23.792800903320312,120.0,-56.31574630737305,13.792799949645996,120.0,7.123902263291825,-73.5096897927841,0.335276122187043,0.3721754365278254,0.34564953588733,10.000000953674316,0.0,10.000000953674316,9.139247714946537,0.6083178896241247,True,28
SGC2024ufcjzl,2,4,-66.31575012207031,-46.20719909667969,130.0,-66.31575012207031,-36.20719909667969,120.0,6.67474668436328,-73.60019556082159,0.7950432300331691,0.6874683293183419,0.349166035843942,10.0,-10.0,14.142135623730953,9.163566173883268,0.876024742923565,True,198
SGC2024puhvvk,2,4,-146.3157501220703,-36.20719909667969,20.0,-146.3157501220703,-36.20719909667969,20.0,6.67474668436328,-74.32424142891993,0.0765774960648038,0.4389246511384931,0.4389246511384931,0.0,0.0,0.0,7.062061297617218,0.8376138724697431,True,21
SGC2022xonpvo,2,5,-46.31574630737305,-36.20719909667969,120.0,-46.31574630737305,-26.207199096679688,130.0,6.764577801862382,-73.41918405927181,-1.0205218686816622,0.2240596469159907,0.1119886244217905,10.0,10.0,14.142135623730953,8.997570188478335,-0.9513222542158635,True,115
SGC2024pbabav,2,4,-66.31575012207031,83.79280090332031,130.0,-66.31575012207031,83.79280090332031,130.0,7.7527200943525,-73.60019556082159,0.1024696555193287,0.0759262181785807,0.0759262181785807,0.0,0.0,0.0,8.279999732971191,0.0,False,4
SGC2024mwivws,2,4,-106.31575012207033,33.79280090332031,100.0,-106.31575012207033,23.792800903320312,110.0,7.21373338935789,-73.96221849487077,-0.3393284009626915,0.1906880367586855,0.1795619641968474,10.0,10.0,14.142135623730953,8.072999954223633,0.0,False,4
