event_id,event_final_rms_s_preferred,event_final_rms_s_1d
SGC2023eszkhn,0.2624342352058311,0.36040084234668274
SGC2023eubynd,0.18648571055325297,0.1590077658504562
SGC2023euqzzb,0.1936451144331705,0.17097986801599757
SGC2023fazgui,0.12112082913225072,0.27157248534563366
SGC2023fgqlhi,0.12193374324415453,0.3662988992422117
SGC2023flsher,0.17778817648656386,0.3584818825565434
SGC2023fnwczi,0.37336902662546956,0.3996696815008927
SGC2023foaogn,0.23536364539912022,0.24831868848663588
SGC2023fpefdd,0.1666760175388009,0.2850266302885794
SGC2023fpmvxa,0.17614404859285443,0.24619049553308317
SGC2023fwgpfh,0.07566796645574343,0.2607198281736276
SGC2023gaqont,0.049158180115313144,0.20582962455656714
SGC2023gazvvw,0.31343268720538964,0.4102837549102068
SGC2023gmfuyb,0.10782435321101724,0.2124757780400224
SGC2023gmpunt,0.23841421363880808,0.2767637974539108
SGC2023grrrds,0.13392987111602553,0.3655506733542435
SGC2023heijma,0.24490655057965793,0.3572620159239364
SGC2023hiftsv,0.21496427938944634,0.2424618521522876
SGC2023hikjac,0.23690393663843515,0.40547513149831765
SGC2023hjhgjd,0.05644762428509919,0.1810060703443523
SGC2023hlsvil,0.3272579309091436,0.32665229265959883
SGC2023hojtot,0.427750247680372,0.41874309455130054
SGC2023hotmsm,0.19689480062856224,0.2484071639122807
SGC2023hovoaf,0.18224701767184223,0.23004667528106945
SGC2023hpecvm,0.17979997980589968,0.1875636761699056
SGC2023hqtcfg,0.2305586957962825,0.3113754323953605
SGC2023hqxgip,0.141350815948087,0.28930189280540164
SGC2023hrwvis,0.29748699757195435,0.3348440366260814
SGC2023hsuugo,0.3208235519603787,0.26282501297661603
SGC2023htxyhp,0.3867977521035688,0.37894256976560703
SGC2023hubsum,0.351428132966274,0.46287289535151666
SGC2023hwkvbl,0.45190507846716677,0.5922033652942331
SGC2023hxkbla,0.5448250921807325,0.5304975871938921
SGC2023hzgcnw,0.14369174167013776,0.2680074039886594
SGC2023iahrzj,0.29579001487826934,0.1092640383516197
SGC2023ibuwyb,0.20741271416983117,0.15208325733251743
SGC2023ifktzh,0.19827477324516474,0.21364130303048628
SGC2023igbihw,0.3029078518390773,0.4147402577001559
SGC2023igckjk,0.25020190321055824,0.4214501250372531
SGC2023ignvdy,0.2970864291899449,0.3765056476697046
SGC2023iixzcc,0.20338478397090962,0.25766305330003436
SGC2023ijfomb,0.25041814750098434,0.26063746315721714
SGC2023ininpp,0.11888722641925903,0.1486668580103903
SGC2023iqueuf,0.2512306637878111,0.3157848925864866
SGC2023itixdc,0.2866347515169629,0.35472627338701346
SGC2023itlddj,0.1539401785367914,0.3095606608894228
SGC2023ivykxo,0.32502252512649343,0.25922106217317026
SGC2023ixnvfh,0.3683763868127135,0.31664707069042713
SGC2023iywhuy,0.18044167922201446,0.21822049511312241
SGC2023jdezjr,0.1967704212639885,0.24638709551598076
SGC2023jffupy,0.2082561129531742,0.2915692033252132
SGC2023jfwrtn,0.19170795509669544,0.32681018135151685
SGC2023jkzmfe,0.08398515333947357,0.2498101994599154
SGC2023jlaadh,0.211293310995263,0.2538785943483548
SGC2023jlrhou,0.12371837385192758,0.2240922535085556
SGC2023jmvhpf,0.35628300973559707,0.6138123375672853
SGC2023jolvpa,0.15734368565497264,0.24931096682193568
SGC2023jomtjg,0.3606590969918857,0.345552540539323
SGC2023jptken,0.124817281984962,0.3030189174894483
SGC2023jrgeuv,0.1876494184562793,0.37579630943712744
SGC2023jsgbza,0.12306578164867765,0.2928889706189333
SGC2023jtnkga,0.7052139870431785,0.6528635385090645
SGC2023jxlbsl,0.19678260701891384,0.2295406364323956
SGC2023jxlwtr,0.25175978299487006,0.3719431227251093
SGC2023jzhwrv,0.1293844535388677,0.13989837669155294
SGC2023kcbilg,0.31512187661244456,0.10156689649565734
SGC2023kgdaki,0.19110153895608137,0.20342070550571945
SGC2023kgowjo,0.1761339911554306,0.29551239796001566
SGC2023kiirwu,0.1521467653955881,0.28711077409087454
SGC2023kkzdrr,0.11742516764583194,0.2874638979305825
SGC2023kqqcxi,0.47220744837911816,0.44837235983806945
SGC2023lcplky,0.10033245152090615,0.23542854003728692
SGC2023ljqmeh,0.18849135699908284,0.2253355795923551
SGC2023lkxjhi,0.22471134281105842,0.3258697794367769
