event_id,n_picks,depth_km,selection_group,rms_residual_s,mad_residual_s,p90_abs_residual_s,median_residual_s,azimuthal_gap_deg
SGC2023aqixkz,5,30.0,domain_20_120,0.5579153548915481,0.6451295427000362,0.7834816640598514,0.0178358717951141,222.64999999999998
SGC2022vsyeya,4,20.0,domain_20_120,0.396392429660269,0.4307041753199892,0.5826719184196559,0.08145009350460561,142.94100000000003
SGC2023vwmrwk,5,120.0,domain_20_120,0.5639380635813153,0.7547265781610527,0.797846962084583,0.1130327945073013,236.96899999999997
SGC2026ceuaxf,4,120.0,domain_20_120,0.0654434282386021,0.043865747334159835,0.0870939599833766,0.0437500666982426,211.073
SGC2024ptzeen,4,120.0,domain_20_120,0.25662409020402244,0.20897172595503358,0.350407385499005,0.1014223677059096,142.909
SGC2026brwygx,4,130.0,domain_20_120,0.6168134529386199,0.7278611527553882,0.8597370827936093,0.08696591612381789,203.37199999999999
SGC2025keziwb,4,90.0,domain_20_120,0.37438714082133134,0.15454894877662892,0.5617117642629232,-0.02273795921447165,278.491
SGC2024tprxcz,5,100.0,domain_20_120,0.1391943082020128,0.10808441218364487,0.2013482346398035,0.0383262246275926,209.13200000000003
SGC2025ytdces,6,120.0,domain_20_120,0.2696666226496608,0.32037299487392845,0.39529160279484543,-0.0434879313030141,243.99500000000003
SGC2023vnwxtt,3,40.0,domain_20_120,0.3465728544732498,0.25437977339247597,0.4777544092377891,-0.0922759008959239,206.274
SGC2023tcibjg,5,120.0,domain_20_120,0.15763289917822176,0.1748504027865358,0.2196693604858218,0.0403083201112366,159.08500000000004
SGC2023phevtw,5,100.0,domain_20_120,0.0863441811754831,0.054302261882464134,0.12837484075221678,-0.0671569829632297,259.659
SGC2024qznunr,5,120.0,domain_20_120,0.19432982258410186,0.0571106822685018,0.27931111455067925,0.120938897323267,201.129
SGC2026exzhxo,4,110.0,domain_20_120,0.16836282985358383,0.19782796885794002,0.22086265422877369,0.0672510985538235,207.21000000000004
