event_id,round_preferred,n_picks_preferred,catalog_x_km_preferred,catalog_y_km_preferred,catalog_z_km_preferred,relocated_x_km_preferred,relocated_y_km_preferred,relocated_z_km_preferred,relocated_lat_preferred,relocated_lon_preferred,origin_time_shift_s_preferred,rms_before_s_preferred,rms_after_s_preferred,horizontal_shift_km_preferred,vertical_shift_km_preferred,total_shift_km_preferred,round_1d,n_picks_1d,catalog_x_km_1d,catalog_y_km_1d,catalog_z_km_1d,relocated_x_km_1d,relocated_y_km_1d,relocated_z_km_1d,relocated_lat_1d,relocated_lon_1d,origin_time_shift_s_1d,rms_before_s_1d,rms_after_s_1d,horizontal_shift_km_1d,vertical_shift_km_1d,total_shift_km_1d,run_horizontal_difference_km,run_vertical_difference_km,run_total_difference_km
SGC2023wlnqql,2,8,-36.31574630737305,23.792800903320312,40.0,-46.31574630737305,33.79280090332031,30.0,7.303564506856992,-73.41918405927181,-0.4647099041454385,0.4057739086409547,0.2899725436305863,14.142135623730953,-10.0,17.320508075688775,2,8,-36.31574630737305,23.792800903320312,40.0,-36.31574630737305,23.792800903320312,50.0,7.21373338935789,-73.32867832575951,-0.3578426296825414,0.3450106358980472,0.2691549700769112,0.0,10.0,10.0,14.142135623730951,20.0,24.49489742783178
SGC2023vqhrub,2,6,-76.31575012207031,-56.20719909667969,120.0,-76.31575012207031,-56.20719909667969,120.0,6.495084449365076,-73.69070129433389,0.0405981369149799,0.0768979538836593,0.0768979538836593,0.0,0.0,0.0,2,6,-76.31575012207031,-66.20719909667969,120.0,-76.31575012207031,-66.20719909667969,130.0,6.405253331865975,-73.69070129433389,-0.7952565911944145,0.2817722844874228,0.2543699153364694,0.0,10.0,10.0,10.0,10.0,14.142135623730951
SGC2023mvchuq,2,4,-56.31574630737305,-36.20719909667969,120.0,-66.31575012207031,-36.20719909667969,130.0,6.67474668436328,-73.60019556082159,-1.0959747969312676,0.22033304725882,0.1941569898895877,10.000003814697266,10.0,14.142138321129512,2,4,-56.31574630737305,-36.20719909667969,120.0,-56.31574630737305,-36.20719909667969,120.0,6.67474668436328,-73.5096897927841,0.1000606857830241,0.1561975371980134,0.1561975371980134,0.0,0.0,0.0,10.000003814697266,10.0,14.142138321129513
SGC2024ujupvr,2,7,-96.31575012207033,23.792800903320312,90.0,-86.31575012207031,13.792799949645996,90.0,7.123902263291825,-73.78120702784618,1.173069122247021,0.6536379667734642,0.5785488157576857,14.142136298080542,0.0,14.142136298080542,2,7,-96.31575012207033,23.792800903320312,90.0,-96.31575012207033,13.792799949645996,100.0,7.123902263291825,-73.87171276135847,0.1574336227734729,0.6398822083979843,0.6143345958507787,10.000000953674316,10.0,14.142136298080542,10.000000000000014,10.0,14.14213562373096
SGC2025wvcvfj,2,7,-116.31575012207033,63.79280090332031,60.0,-116.31575012207033,53.79280090332031,50.0,7.483226741855195,-74.05272422838306,0.8023161419418621,0.5372988522460255,0.2866464888927355,10.0,-10.0,14.142135623730953,2,7,-126.31575012207033,63.79280090332031,70.0,-116.31575012207033,53.79280090332031,70.0,7.483226741855195,-74.05272422838306,1.4636419364542448,0.4359466658264957,0.2279239341365039,14.142135623730953,0.0,14.142135623730953,0.0,20.0,20.0
SGC2023xinscn,2,5,-56.31574630737305,-46.20719909667969,120.0,-56.31574630737305,-46.20719909667969,120.0,6.584915566864178,-73.5096897927841,0.0445359482665956,0.0949684993017306,0.0949684993017306,0.0,0.0,0.0,2,5,-56.31574630737305,-56.20719909667969,130.0,-66.31575012207031,-46.20719909667969,140.0,6.584915566864178,-73.60019556082159,-0.4544939837505239,0.1839724883367577,0.1422907993859023,14.142138321129512,10.0,17.320510278105544,10.000003814697266,20.0,22.360681480982638
SGC2025wthywj,2,5,-56.31574630737305,-36.20719909667969,130.0,-66.31575012207031,-36.20719909667969,140.0,6.67474668436328,-73.60019556082159,-1.0828535254137712,0.289414462147894,0.2826861831506768,10.000003814697266,10.0,14.142138321129512,2,5,-66.31575012207031,-46.20719909667969,130.0,-66.31575012207031,-46.20719909667969,140.0,6.584915566864178,-73.60019556082159,-1.0402475292554705,0.4463229338927169,0.3090532430852291,0.0,10.0,10.0,10.0,0.0,10.0
SGC2023ywaauj,2,5,-76.31575012207031,-76.20719909667969,110.0,-76.31575012207031,-76.20719909667969,110.0,6.315422214366873,-73.69070129433389,0.0812145809267832,0.069168252022848,0.069168252022848,0.0,0.0,0.0,2,5,-76.31575012207031,-76.20719909667969,110.0,-76.31575012207031,-76.20719909667969,110.0,6.315422214366873,-73.69070129433389,-0.048619341814696,0.409150236631907,0.409150236631907,0.0,0.0,0.0,0.0,0.0,0.0
SGC2024wrxjva,2,4,-146.3157501220703,-76.20719909667969,40.0,-136.3157501220703,-66.20719909667969,50.0,6.405253331865975,-74.23373569540765,1.6501124474469364,0.160665266671434,0.1156083055790331,14.142135623730953,10.0,17.320508075688775,2,4,-146.3157501220703,-76.20719909667969,40.0,-136.3157501220703,-76.20719909667969,50.0,6.315422214366873,-74.23373569540765,0.8270810736708443,0.1839273382365511,0.115869761181893,10.0,10.0,14.142135623730953,10.0,0.0,10.0
SGC2023vfdfoj,2,6,-46.31574630737305,-26.207199096679688,120.0,-46.31574630737305,-26.207199096679688,130.0,6.764577801862382,-73.41918405927181,-0.7993595870618151,0.1734507259337931,0.14227881678043,0.0,10.0,10.0,2,6,-56.31574630737305,-26.207199096679688,120.0,-56.31574630737305,-16.207199096679688,130.0,6.854408919361483,-73.5096897927841,-1.0564395857200104,0.4571636758884647,0.3611382783651581,10.0,10.0,14.142135623730953,14.142135623730951,0.0,14.142135623730951
