lon,lat,x_km,y_km,slab_depth_km,nearest_control_event_km,confidence,vp_final_km_s,dvp_percent_on_surface,vp_active_surface,hit_count_surface,tomography_supported_slab
-73.68576460191848,6.35460387199946,-75.77029380413018,-71.84549696902012,114.5487495368456,4.395676062360695,high,9.275887471669105,0.23479259458593693,True,27.0,True
-73.67424569003181,6.35460387199946,-74.4975664928706,-71.84549696902012,115.9775020568677,4.725488034046837,high,9.225182110556077,0.2735914166235775,True,26.0,True
-73.66272677814514,6.35460387199946,-73.22483918161103,-71.84549696902012,117.47335947906284,5.345855955062846,high,9.183192685057692,0.3534770177493685,True,26.0,True
-73.65120786625847,6.35460387199946,-71.95211187035147,-71.84549696902012,118.94052446220498,6.169747502312705,high,9.152617620451219,0.4734003870914648,True,26.0,True
-73.6396889543718,6.35460387199946,-70.6793845590919,-71.84549696902012,120.26957853893393,6.169744804316522,high,9.136631214966645,0.6194454456082059,True,28.0,True
-73.62817004248514,6.35460387199946,-69.40665724783233,-71.84549696902012,121.3453396191574,5.345853749450729,high,9.13917051654937,0.7486223958995988,True,28.0,True
-73.61665113059847,6.35460387199946,-68.13392993657276,-71.84549696902012,122.0516692573782,4.725486566301311,high,9.15153200091629,0.8701732945991281,True,28.0,True
-73.6051322187118,6.35460387199946,-66.8612026253132,-71.84549696902012,122.28458403841108,4.3956755889992545,high,9.169020113404482,0.9783637896620381,True,28.0,True
-73.59361330682513,6.35460387199946,-65.58847531405362,-71.84549696902012,121.98329866305995,4.421919729801269,high,9.16486348109554,0.8903059945630442,True,28.0,True
-73.58209439493847,6.35460387199946,-64.31574800279405,-71.84549696902012,121.16274390041288,4.798380344193189,high,9.140750190813037,0.6248577159110396,True,28.0,True
-73.5705754830518,6.35460387199946,-63.043020691534494,-71.84549696902012,119.90929818467352,5.452999484313685,high,9.111758317306197,0.2948153176680711,True,28.0,True
-73.55905657116513,6.35460387199946,-61.77029338027492,-71.84549696902012,118.34439077276576,6.299652565178749,high,9.10430760891811,0.044747873803999735,True,28.0,True
-73.54753765927846,6.35460387199946,-60.49756606901535,-71.84549696902012,116.59539394380526,6.042521160020219,high,9.10342608293133,-0.11322538594357673,False,7.0,False
-73.5360187473918,6.35460387199946,-59.22483875775579,-71.84549696902012,114.78623183458681,5.242829802244575,high,9.108351445566107,-0.17045799263761313,False,0.0,False
-73.52449983550513,6.35460387199946,-57.95211144649622,-71.84549696902012,113.03710194002127,4.658555175048119,high,9.117658091070703,-0.13180890067578355,False,0.0,False
-73.51298092361846,6.35460387199946,-56.679384135236646,-71.84549696902012,111.45912298562418,4.376834234956057,high,9.129366808533824,-0.01453386233318588,False,0.0,False
-73.50146201173179,6.35460387199946,-55.40665682397707,-71.84549696902012,110.13396008588423,4.455433664555132,high,9.047278932422044,0.1257945404272964,False,0.0,False
-73.48994309984512,6.35460387199946,-54.133929512717515,-71.84549696902012,109.09301055692609,4.876963191974177,high,8.84325879571594,0.14108955064143563,False,0.0,False
-73.47842418795847,6.35460387199946,-52.86120220145794,-71.84549696902012,108.32571506016095,5.564020168020853,high,8.666942253237952,0.13266793855288792,False,0.0,False
-73.82399154455848,6.370467665089727,-91.04302153924499,-70.0795395222116,99.7018269840961,6.110819537741675,high,9.085505725073528,-0.3534976674023623,True,73.0,False
-73.81247263267183,6.370467665089727,-89.77029422798543,-70.0795395222116,101.45834621469038,5.189305864074847,high,9.136505130864212,-0.026118115286142593,True,73.0,False
-73.80095372078516,6.370467665089727,-88.49756691672584,-70.0795395222116,103.13905837678773,4.444698515833177,high,9.158699113378296,0.28488206464245647,True,73.0,True
-73.78943480889849,6.370467665089727,-87.22483960546629,-70.0795395222116,104.66463262101055,3.977620401701231,high,9.183422415308991,0.5676829432975883,True,73.0,True
-73.77791589701182,6.370467665089727,-85.95211229420673,-70.0795395222116,105.96842407861814,3.8893769219583296,high,9.2057444252972,0.7465604866097061,True,124.0,True
-73.76639698512516,6.370467665089727,-84.67938498294714,-70.0795395222116,107.03598391146214,4.203892391551703,high,9.23067262574366,0.7505524903742508,True,124.0,True
-73.75487807323849,6.370467665089727,-83.40665767168758,-70.0795395222116,107.91675526269687,4.843329356556552,high,9.27249874437219,0.7691394228917617,True,124.0,True
