event_id,round,n_picks,catalog_x_km,catalog_y_km,catalog_z_km,x_km,y_km,depth_km,lat,lon,origin_time_shift_s,rms_before_s,rms_after_s,horizontal_shift_km,vertical_shift_km,total_shift_km,vp_final_km_s,dvp_percent,vp_active,hit_count
SGC2023ugtcot,2,6,-66.31575012207031,-6.207200050354004,110.0,-66.31575012207031,-6.207200050354004,120.0,6.944240028293622,-73.60019556082159,-0.6394082355383457,0.3203127457426397,0.1938732540518171,0.0,10.0,10.0,9.038795907191181,-0.4974938492031495,True,99
SGC2023qpxusz,2,6,-56.31574630737305,-46.20719909667969,120.0,-66.31575012207031,-36.20719909667969,110.0,6.67474668436328,-73.60019556082159,0.934272198228129,0.6446916063705768,0.2661233848427358,14.142138321129512,-10.0,17.320510278105544,7.944767542910266,0.7375873525895078,True,97
SGC2023vjxlfm,2,6,-76.31575012207031,-66.20719909667969,120.0,-76.31575012207031,-66.20719909667969,110.0,6.405253331865975,-73.69070129433389,0.8656012824162218,0.2970858215571754,0.2677044541716314,0.0,-10.0,10.0,9.994054662220062,1.865008310119387,True,88
SGC2024blcbyz,2,6,-56.31574630737305,-36.20719909667969,120.0,-56.31574630737305,-26.207199096679688,110.0,6.764577801862382,-73.5096897927841,1.5728104363034865,0.2566120320718666,0.1940650348390602,10.0,-10.0,14.142135623730953,11.591941955037967,-0.1777906099602238,True,86
SGC2023wnnjys,2,6,-66.31575012207031,-26.207199096679688,120.0,-66.31575012207031,-26.207199096679688,130.0,6.764577801862382,-73.60019556082159,-0.9148424438000556,0.3938186779694259,0.3699523334188142,0.0,10.0,10.0,8.780756870091235,0.045081514691250754,True,74
SGC2023sxnsic,2,6,-76.31575012207031,-16.207199096679688,110.0,-76.31575012207031,-16.207199096679688,120.0,6.854408919361483,-73.69070129433389,-0.7812554637330447,0.2400197156213354,0.1060169676127247,0.0,10.0,10.0,8.675327116366962,-1.156150732308562,True,67
SGC2025cjjmvs,2,6,-36.31574630737305,-6.207200050354004,120.0,-36.31574630737305,-6.207200050354004,130.0,6.944240028293622,-73.32867832575951,-0.8059602089348648,0.4582528419394216,0.4492501839633378,0.0,10.0,10.0,9.148411221065004,0.7091932532541665,True,64
SGC2025qggnkx,2,6,-56.31574630737305,-36.20719909667969,110.0,-56.31574630737305,-36.20719909667969,110.0,6.67474668436328,-73.5096897927841,0.0773982025334767,0.2004841307530378,0.2004841307530378,0.0,0.0,0.0,7.867214525831012,2.047397416354766,True,63
SGC2025ugwodk,2,6,-46.31574630737305,-6.207200050354004,120.0,-46.31574630737305,-6.207200050354004,130.0,6.944240028293622,-73.41918405927181,-0.8350205612561385,0.2979066627179954,0.2484642019799507,0.0,10.0,10.0,9.32838646373807,2.690429235894344,True,57
SGC2025kuyfzb,2,6,-56.31574630737305,-36.20719909667969,110.0,-56.31574630737305,-26.207199096679688,100.0,6.764577801862382,-73.5096897927841,1.3411015243146496,0.2199926571190441,0.2154528181484933,10.0,-10.0,14.142135623730953,7.979799525019386,0.7982495289497464,True,53
